평가년도,쇼핑몰 구분,쇼핑몰 명,도메인명
2022,의류,젝시믹스,www.xexymix.com
2022,종합쇼핑몰,코스트코,www.costco.co.kr
2022,종합쇼핑몰,SSG닷컴,www.ssg.com
2022,종합쇼핑몰,CJ온스타일,display.cjonstyle.com
2022,식품,마켓컬리,market.kurly.com
2022,오픈마켓,네이버 스마트스토어,sell.smartstore.naver.com
2022,가전,삼성닷컴,www.samsung.com
2022,컴퓨터,카카오 쇼핑라이브,store.kakao.com/home/live
2022,의류,유니클로,store-kr.uniqlo.com
2022,종합쇼핑몰,GS SHOP,www.gsshop.com
2022,컴퓨터,네이버 쇼핑라이브,shoppinglive.naver.com/
2022,소셜커머스,멜론,www.melon.com
2022,화장품,아모레몰,www.amoremall.com
2022,의류,무신사,store.musinsa.com/
2022,도서,넷플릭스,www.netflix.com
2022,의류,뮬라웨어,www.mulawear.com
2022,소셜커머스,유튜브 뮤직,www.youtube.com/musicpremium
2022,종합쇼핑몰,홈플러스,www.homeplus.co.kr
2022,가전,전자랜드,www.etlandmall.co.kr
2022,소셜커머스,지니,www.genie.co.kr
2022,오픈마켓,쿠팡,www.coupang.com
2022,의류,프롬비기닝,www.beginning.kr
2022,화장품,아이뷰티랩,www.ibeautylab.co.kr
2022,의류,안다르,andar.co.kr
2022,컴퓨터,쿠팡 라이브,www.coupang.com
2022,의류,98도씨,www.98doci.com
2022,여행,예스2411,ticket.yes24.com
2022,화장품,마녀공장,www.manyo.co.kr
2022,해외구매대행,쿠팡이츠,www.coupangeats.com
2022,의류,슬로우앤드,www.slowand.com
2022,의류,LF몰,www.lfmall.co.kr
2022,티켓,에어비앤비,www.airbnb.co.kr/
2022,티켓,하나투어,www.hanatour.com
2022,종합쇼핑몰,현대Hmall,www.hmall.com
2022,오픈마켓,G마켓,www.gmarket.co.kr
2022,해외구매대행,요기요,www.yogiyo.com
2022,식품,오아시스마켓,www.oasis.co.kr/
2022,종합쇼핑몰,홈앤쇼핑,www.hnsmall.com
2022,해외구매대행,배달의 민족,www.baemin.com
2022,도서,TVING,www.tving.com
2022,가전,하이마트,www.e-himart.co.kr
2022,오픈마켓,11번가,www.11st.co.kr/
2022,의류,탑텐몰,www.topten10mall.com
2022,식품,GS프레시몰,www.gsfresh.com
2022,도서,웨이브,www.wavve.com
2022,티켓,야놀자,www.yanolja.com
2022,여행,멜론11,ticket.melon.com
2022,종합쇼핑몰,롯데온,www.l8eon.com
2022,티켓,아고다,www.agoda.com/ko-kr
2022,여행,11링크,www.ticketlink.co.kr
2021,종합쇼핑몰,코스트코,www.costco.co.kr
2021,의류,보리보리,www.boribori.com
2021,의류,무신사,store.musinsa.com
2021,식품,샵풀무원,shop.pulmuone.co.kr
2021,식품,마켓컬리,www.kurly.com
2021,의류,젝시믹스,www.xexymix.com
2021,종합쇼핑몰,CJ온스타일,www.cjonstyle.com
2021,컴퓨터,네이버 쇼핑라이브,shoppinglive.naver.com
2021,식품,CJ더마켓,www.cjthemarket.com
2021,의류,LF몰,www.lfmall.co.kr
2021,종합쇼핑몰,신세계 TV쇼핑,www.shinsegaetvshopping.com
2021,소셜커머스,멜론,www.melon.com
2021,가전,쿠첸,www.cuchenmall.com
2021,종합쇼핑몰,롯데i몰(롯데홈쇼핑),www.lotteimall.com
2021,컴퓨터,카카오 쇼핑라이브,store.kakao.com/home/live
2021,식품,동원몰,dongwonmall.com
2021,오픈마켓,쿠팡,www.coupang.com
2021,식품,오아시스마켓,www.oasis.co.kr
2021,컴퓨터,그립,www.grip.show
2021,도서,넷플릭스,www.netflix.com
2021,종합쇼핑몰,우체국쇼핑,mall.epost.go.kr/
2021,화장품,아모레퍼시픽몰,www.amoremall.com
2021,의류,프롬비기닝,www.beginning.kr
2021,의류,저스트원,www.justone.co.kr
2021,의류,하프클럽,www.halfclub.com
2021,의류,마이더스비,www.midasb.co.kr
2021,의류,유니클로,store-kr.uniqlo.com
2021,화장품,스킨알엑스,www.skinrx.co.kr
2021,식품,헬로네이처,www.hellonature.co.kr
2021,의류,갠소,www.gaenso.com
2021,식품,정원e샵,www.jungoneshop.com
2021,오픈마켓,네이버 스마트스토어,smartstore.naver.com
2021,의류,뮬라웨어,www.mulawear.com
2021,의류,스컬피그,www.skullpig.com
2021,컴퓨터,소스 라이브,www.saucelive.net/
2021,의류,패션플러스,www.fashionplus.co.kr
2021,종합쇼핑몰,더블유쇼핑,www.w-shopping.co.kr
2021,종합쇼핑몰,공영쇼핑,www.gongyoungshop.kr
2021,의류,스타일난다,www.stylenanda.com
2021,종합쇼핑몰,홈플러스,www.homeplus.co.kr
2021,의류,패션풀,www.fashion-full.com
2021,화장품,아이뷰티랩,www.ibeautylab.co.kr
2021,소셜커머스,지니,www.genie.co.kr 
2021,티켓,야놀자,www.yanolja.com
2021,컴퓨터,쿠팡 라이브,www.coupang.com
2021,종합쇼핑몰,GS SHOP,www.gsshop.com
2021,종합쇼핑몰,현대Hmall,www.hmall.com
2021,도서,티빙,www.tving.com
2021,의류,스타일노리터,www.stylenoriter.co.kr
2021,가전,전자랜드,www.etlandmall.co.kr
2021,오픈마켓,11번가,www.11st.co.kr
2021,도서,웨이브,www.wavve.com
2021,의류,피핀,www.pippin.co.kr
2021,종합쇼핑몰,이랜드몰,elandmall.com
2021,의류,98도씨,www.98doci.com
2021,종합쇼핑몰,홈앤쇼핑,www.hnsmall.com
2021,종합쇼핑몰,K쇼핑,www.kshop.co.kr
2021,의류,시크헤라,www.chichera.co.kr
2021,의류,슬로우앤드,www.slowand.com
2021,해외구매대행,쿠팡이츠,www.coupangeats.com
2021,종합쇼핑몰,NS Mall,www.nsmall.com
2021,종합쇼핑몰,더현대닷컴,www.thehyundai.com
2021,도서,디즈니플러스,www.disneyplus.com/ko-kr
2021,종합쇼핑몰,갤러리아몰,www.galleria.co.kr
2021,도서,왓챠,watcha.com
2021,여행,예스24티켓,ticket.yes24.com
2021,의류,제이키즈,www.jkids.co.kr
2021,해외구매대행,요기요,www.yogiyo.com
2021,오픈마켓,위메프,www.wemakeprice.com
2021,화장품,리스킨,www.reskin.co.kr
2021,화장품,토니스트리트,www.tonystreet.com
2021,의류,자라,www.zara.com/kr
2021,종합쇼핑몰,SSG닷컴,www.ssg.com
2021,의류,W컨셉,www.wconcept.co.kr
2021,오픈마켓,G마켓,www.gmarket.co.kr
2021,티켓,부킹닷컴,www.booking.com
2021,오픈마켓,옥션,www.gmarket.co.kr 
2021,종합쇼핑몰,AK몰,www.akmall.com
2021,가전,쿠쿠,www.cuckoo.co.kr
2021,해외구매대행,배달의 민족,www.baemin.com
2021,종합쇼핑몰,오케이몰,www.okmall.com
2021,티켓,마이리얼트립,www.myrealtrip.com
2021,컴퓨터,티몬 TVON,www.tmon.co.kr
2021,소셜커머스,플로,www.music-flo.com
2021,여행,티켓링크,www.ticketlink.co.kr
2021,의류,안다르,www.andar.co.kr
2021,오픈마켓,티몬,www.tmon.co.kr
2021,티켓,에어비앤비,www.airbnb.co.kr
2021,여행,멜론티켓,ticket.melon.com
2021,오픈마켓,인터파크,www.interpark.com
2021,가전,하이마트,www.e-himart.co.kr
2021,소셜커머스,스포티파이,www.spotify.com
2021,종합쇼핑몰,롯데온,www.lotteon.com
2021,티켓,호텔스닷컴,kr.hotels.com
2021,컴퓨터,보고플레이,www.vogoplay.com
2021,가전,하이탑AV,www.hitopav.co.kr
2021,티켓,아고다,www.agoda.com/ko-kr
2021,소셜커머스,유튜브 뮤직,www.youtube.com/musicpremium
2021,티켓,익스피디아,www.expedia.co.kr
2021,티켓,트립닷컴,kr.trip.com
